image;X;Y;issues
spotassay_116_01.jpg;76;132;False
spotassay_116_02.jpg;50;78;False
spotassay_116_03.jpg;31;111;False
spotassay_117_00.jpg;63;130;False
spotassay_117_01.jpg;74;142;False
spotassay_117_02.jpg;35;57;False
spotassay_117_03.jpg;24;129;False
spotassay_118_00.jpg;76;130;False
spotassay_118_01.jpg;56;137;False
spotassay_118_02.jpg;64;98;False
spotassay_118_03.jpg;34;81;False
spotassay_119_00.jpg;79;156;False
spotassay_119_01.jpg;57;153;False
spotassay_119_02.jpg;20;77;False
spotassay_119_03.jpg;12;70;False
spotassay_11a.png;99;264;False
spotassay_11b.png;93;201;False
spotassay_11c.png;84;296;False
spotassay_11d.png;89;235;False
spotassay_120_00.jpg;90;111;False
spotassay_120_01.jpg;61;160;False
spotassay_120_02.jpg;25;72;False
spotassay_120_03.jpg;25;65;False
spotassay_121_00.jpg;86;124;False
spotassay_121_01.jpg;86;132;False
spotassay_121_02.jpg;50;65;False
spotassay_121_03.jpg;61;70;False
spotassay_122_00.jpg;69;70;False
spotassay_122_01.jpg;58;59;False
spotassay_122_02.jpg;73;72;False
spotassay_122_03.jpg;77;72;False
spotassay_123_00.jpg;45;146;False
spotassay_123_01.jpg;44;93;False
spotassay_123_02.jpg;77;55;False
spotassay_123_03.jpg;27;44;False
spotassay_124_00.jpg;76;127;False
spotassay_124_01.jpg;54;160;False
spotassay_124_02.jpg;41;70;False
spotassay_124_03.jpg;38;59;False
spotassay_125_00.jpg;92;165;False
spotassay_125_01.jpg;86;147;False
spotassay_125_02.jpg;40;83;False
spotassay_125_03.jpg;35;88;False
spotassay_126_00.jpg;76;170;False
spotassay_126_01.jpg;31;175;False
spotassay_126_02.jpg;14;71;False
spotassay_126_03.jpg;61;100;False
spotassay_127_00.jpg;74;137;False
spotassay_127_01.jpg;86;166;False
spotassay_127_02.jpg;66;70;False
spotassay_127_03.jpg;28;45;False
spotassay_128_00.jpg;31;206;False
spotassay_128_01.jpg;80;222;False
spotassay_128_02.jpg;50;70;False
spotassay_128_03.jpg;40;62;False
spotassay_129_00.jpg;57;244;False
spotassay_129_01.jpg;47;250;False
spotassay_129_02.jpg;128;454;False
spotassay_129_03.jpg;165;453;False
spotassay_12a.png;103;297;False
spotassay_12b.png;64;257;False
spotassay_12c.png;97;257;False
spotassay_12d.png;74;271;False
spotassay_130_00.jpg;73;120;False
spotassay_130_01.jpg;64;250;False
spotassay_130_02.jpg;53;70;False
spotassay_130_03.jpg;21;41;False
spotassay_131_00.jpg;30;250;False
spotassay_131_01.jpg;53;235;False
spotassay_131_02.jpg;64;61;False
spotassay_131_03.jpg;56;71;False
spotassay_132_00.jpg;50;273;False
spotassay_132_01.jpg;60;241;False
spotassay_132_02.jpg;79;44;False
spotassay_132_03.jpg;48;72;False
spotassay_133_00.jpg;103;221;False
spotassay_133_01.jpg;89;287;False
spotassay_133_02.jpg;3;68;False
spotassay_133_03.jpg;49;83;False
spotassay_134_00.jpg;23;206;False
spotassay_134_01.jpg;29;258;False
spotassay_134_02.jpg;57;33;False
spotassay_134_03.jpg;34;36;False
spotassay_135_00.jpg;42;234;False
spotassay_135_01.jpg;71;139;False
spotassay_135_02.jpg;54;99;False
spotassay_135_03.jpg;64;65;False
spotassay_136_00.jpg;41;212;False
spotassay_136_01.jpg;41;239;False
spotassay_136_02.jpg;49;76;False
spotassay_136_03.jpg;42;57;False
spotassay_137_00.jpg;71;95;False
spotassay_137_01.jpg;45;83;False
spotassay_137_02.jpg;33;98;False
spotassay_137_03.jpg;64;81;False
spotassay_138_00.jpg;44;120;False
spotassay_138_01.jpg;86;137;False
spotassay_138_02.jpg;51;105;False
spotassay_138_03.jpg;21;35;False
spotassay_139_00.jpg;48;130;False
spotassay_139_01.jpg;22;68;False
spotassay_139_02.jpg;36;83;False
spotassay_139_03.jpg;27;133;False
spotassay_13a.png;79;276;False
spotassay_13b.png;73;282;False
spotassay_13c.png;99;267;False
spotassay_13d.png;85;218;False
spotassay_140_00.jpg;73;102;False
spotassay_140_01.jpg;46;142;False
spotassay_140_02.jpg;40;76;False
spotassay_140_03.jpg;67;97;False
spotassay_141_00.jpg;55;123;False
spotassay_141_01.jpg;54;93;False
spotassay_141_02.jpg;81;133;False
spotassay_141_03.jpg;56;100;False
spotassay_142_00.jpg;90;126;False
spotassay_142_01.jpg;52;88;False
spotassay_142_02.jpg;61;79;False
spotassay_142_03.jpg;100;46;False
spotassay_143_00.jpg;69;94;False
spotassay_143_01.jpg;48;103;False
spotassay_143_02.jpg;36;82;False
spotassay_143_03.jpg;61;94;False
spotassay_144_00.jpg;89;121;False
spotassay_144_01.jpg;64;69;False
spotassay_144_02.jpg;42;56;False
spotassay_144_03.jpg;54;103;False
spotassay_145_00.jpg;50;232;False
spotassay_145_01.jpg;81;79;False
spotassay_145_02.jpg;115;404;False
spotassay_145_03.jpg;14;92;False
spotassay_146_00.jpg;34;71;False
spotassay_146_01.jpg;28;23;False
spotassay_146_02.jpg;35;79;False
spotassay_146_03.jpg;58;113;False
spotassay_147_00.jpg;83;63;False
spotassay_147_01.jpg;74;61;False
spotassay_147_02.jpg;72;107;False
spotassay_147_03.jpg;50;82;False
spotassay_148_00.jpg;19;78;False
spotassay_148_01.jpg;49;46;False
spotassay_148_02.jpg;55;84;False
spotassay_148_03.jpg;51;129;False
spotassay_149_00.jpg;45;62;False
spotassay_149_01.jpg;43;59;False
spotassay_149_02.jpg;56;93;False
spotassay_149_03.jpg;55;63;False
spotassay_14a.png;105;236;False
spotassay_14b.png;99;271;False
spotassay_14c.png;106;271;False
spotassay_14d.png;97;214;False
spotassay_150_00.jpg;62;87;False
spotassay_150_01.jpg;58;109;False
spotassay_150_02.jpg;60;92;False
spotassay_150_03.jpg;49;55;False
spotassay_152_00.jpg;46;125;False
spotassay_152_01.jpg;48;97;False
spotassay_152_02.jpg;52;133;False
spotassay_152_03.jpg;259;326;False
spotassay_153_00.jpg;69;85;False
spotassay_153_01.jpg;33;61;False
spotassay_153_02.jpg;53;77;False
spotassay_153_03.jpg;29;54;False
spotassay_154_00.jpg;47;135;False
spotassay_154_01.jpg;53;125;False
spotassay_154_02.jpg;56;92;False
spotassay_154_03.jpg;33;67;False
spotassay_155_00.jpg;48;71;False
spotassay_155_01.jpg;60;50;False
spotassay_155_02.jpg;74;52;False
spotassay_155_03.jpg;65;97;False
spotassay_156_00.jpg;71;107;False
spotassay_156_01.jpg;55;124;False
spotassay_156_02.jpg;28;91;False
spotassay_156_03.jpg;59;90;False
spotassay_157_00.jpg;52;117;False
spotassay_157_01.jpg;42;81;False
spotassay_157_02.jpg;71;55;False
spotassay_157_03.jpg;40;56;False
spotassay_158_00.jpg;53;103;False
spotassay_158_01.jpg;69;149;False
spotassay_158_02.jpg;61;72;False
spotassay_158_03.jpg;32;58;False
spotassay_159_00.jpg;52;111;False
spotassay_159_01.jpg;79;104;False
spotassay_159_02.jpg;64;103;False
spotassay_159_03.jpg;34;103;False
spotassay_15a.png;95;74;False
spotassay_15b.png;7;162;False
spotassay_15c.png;70;104;False
spotassay_15d.png;80;86;False
spotassay_160_00.jpg;93;123;False
spotassay_160_01.jpg;51;79;False
spotassay_160_02.jpg;61;65;False
spotassay_160_03.jpg;50;85;False
spotassay_161_00.jpg;56;85;False
spotassay_161_01.jpg;88;48;False
spotassay_161_02.jpg;67;60;False
spotassay_161_03.jpg;56;68;False
spotassay_162_00.jpg;33;123;False
spotassay_162_01.jpg;61;181;False
spotassay_162_02.jpg;68;77;False
spotassay_162_03.jpg;79;64;False
spotassay_163_00.jpg;58;47;False
spotassay_163_01.jpg;44;91;False
spotassay_163_02.jpg;43;67;False
spotassay_163_03.jpg;72;128;False
spotassay_164_00.jpg;22;109;False
spotassay_164_01.jpg;30;96;False
spotassay_164_02.jpg;114;368;False
spotassay_164_03.jpg;108;79;False
spotassay_165_00.jpg;45;46;False
spotassay_165_01.jpg;48;67;False
spotassay_165_02.jpg;68;112;False
spotassay_165_03.jpg;52;164;False
spotassay_166_00.jpg;38;75;False
spotassay_166_01.jpg;37;207;False
spotassay_166_02.jpg;79;149;False
spotassay_166_03.jpg;50;83;False
spotassay_167_00.jpg;40;108;False
spotassay_167_01.jpg;2;143;False
spotassay_167_02.jpg;31;152;False
spotassay_167_03.jpg;42;141;False
spotassay_168_00.jpg;53;187;False
spotassay_168_01.jpg;48;155;False
spotassay_168_02.jpg;25;141;False
spotassay_168_03.jpg;34;197;False
spotassay_169_00.jpg;48;175;False
spotassay_169_01.jpg;57;122;False
spotassay_169_02.jpg;92;74;False
spotassay_169_03.jpg;45;147;False
spotassay_16a.png;90;294;False
spotassay_16b.png;92;251;False
spotassay_16c.png;74;269;False
spotassay_16d.png;82;214;False
